Date,Vol,Val
"June 1, 2020",476.97,10413.11
"June 2, 2020",476.78,9951.30
"June 3, 2020",456.26,9622.38
"June 4, 2020",463.05,9639.50
"June 5, 2020",464.79,9539.52
"June 6, 2020",458.65,9119.20
"June 7, 2020",427.26,6875.00
"June 8, 2020",469.99,10062.17
"June 9, 2020",466.98,9786.86
"June 10, 2020",461.58,9839.41
"June 11, 2020",449.65,9499.97
"June 12, 2020",453.43,9288.43
"June 13, 2020",289.00,4333.74
"June 14, 2020",435.87,7238.23
"June 15, 2020",463.91,9725.94
"June 16, 2020",469.24,9361.87
"June 17, 2020",446.58,9087.24
"June 18, 2020",433.32,8793.32
"June 19, 2020",440.29,8512.47
"June 20, 2020",437.75,8280.13
"June 21, 2020",356.53,4938.44
"June 22, 2020",459.55,9375.20
"June 23, 2020",452.99,8650.02
"June 24, 2020",477.54,8942.45
"June 25, 2020",456.49,8531.52
"June 26, 2020",455.45,8660.95
"June 27, 2020",436.26,7586.08
"June 28, 2020",397.91,5544.80
"June 29, 2020",430.17,8825.17
"June 30, 2020",505.09,11811.09
"July 1, 2020",515.18,11611.71
"July 2, 2020",481.96,10494.44
"July 3, 2020",507.41,10735.45
"July 4, 2020",498.77,10114.58
"July 5, 2020",432.52,7115.05
"July 6, 2020",503.34,10863.00
"July 7, 2020",496.02,10438.01
"July 8, 2020",509.11,10642.44
"July 9, 2020",485.14,10059.96
"July 10, 2020",451.50,9324.23
"July 11, 2020",500.95,9024.34
"July 12, 2020",434.05,6282.22
"July 13, 2020",518.52,10469.79
"July 14, 2020",519.60,10312.04
"July 15, 2020",499.18,10118.86
"July 16, 2020",479.81,9451.87
"July 17, 2020",472.60,9034.77
"July 18, 2020",462.30,8380.13
"July 19, 2020",410.87,5766.61
"July 20, 2020",461.25,8829.00
"July 21, 2020",437.49,8301.25
"July 22, 2020",496.81,9735.93
"July 23, 2020",470.34,8878.82
"July 24, 2020",483.32,9348.16
"July 25, 2020",466.60,7787.59
"July 26, 2020",414.17,5659.17
"July 27, 2020",501.87,9884.21
"July 28, 2020",497.54,9580.56
"July 29, 2020",488.78,9301.61
"July 30, 2020",525.93,10592.09
"July 31, 2020",550.61,12399.97
"August 1, 2020",554.43,10981.35
"August 2, 2020",501.86,8082.04
"August 3, 2020",508.98,9804.57
"August 4, 2020",526.55,11230.53
"August 5, 2020",492.26,10226.47
"August 6, 2020",459.74,9517.22
"August 7, 2020",504.21,10464.83
"August 8, 2020",538.93,9938.80
"August 9, 2020",440.12,6578.76
"August 10, 2020",511.87,10388.90
"August 11, 2020",578.27,11411.04
"August 12, 2020",558.47,10962.22
"August 13, 2020",539.19,10585.91
"August 14, 2020",539.34,10316.23
"August 15, 2020",489.26,7615.92
"August 16, 2020",460.73,6513.29
"August 17, 2020",491.93,9319.65
"August 18, 2020",492.12,8825.77
"August 19, 2020",543.21,10080.86
"August 20, 2020",556.27,10676.16
"August 21, 2020",548.43,9893.06
"August 22, 2020",498.88,7381.02
"August 23, 2020",468.13,6217.56
"August 24, 2020",551.02,10572.50
"August 25, 2020",561.84,10383.43
"August 26, 2020",552.49,10182.13
"August 27, 2020",544.74,10028.61
"August 28, 2020",549.31,10209.71
"August 29, 2020",545.21,9725.31
"August 30, 2020",493.79,6981.95
"August 31, 2020",586.69,13211.82
"September 1, 2020",651.97,13916.88
"September 2, 2020",638.42,13151.17
"September 3, 2020",625.80,12827.30
"September 4, 2020",621.85,12457.52
"September 5, 2020",624.89,12215.88
"September 6, 2020",567.97,8642.76
"September 7, 2020",634.74,13010.41
"September 8, 2020",662.23,12601.81
"September 9, 2020",571.75,11563.73
"September 10, 2020",646.68,12688.59
"September 11, 2020",624.04,11651.30
"September 12, 2020",609.70,10366.60
"September 13, 2020",474.74,6184.07
"September 14, 2020",631.44,12516.37
"September 15, 2020",623.60,11916.68
"September 16, 2020",628.73,11547.25
"September 17, 2020",402.75,7127.67
"September 18, 2020",637.88,11307.57
"September 19, 2020",614.30,10245.52
"September 20, 2020",454.37,5724.58
"September 21, 2020",636.98,11767.97
"September 22, 2020",622.35,11255.24
"September 23, 2020",607.23,10715.09
"September 24, 2020",601.18,10459.95
"September 25, 2020",604.82,10540.49
"September 26, 2020",501.38,7561.24
"September 27, 2020",592.81,7868.89
"September 28, 2020",631.77,11503.91
"September 29, 2020",599.96,11212.75
"September 30, 2020",655.34,14482.65
"October 1, 2020",690.78,15154.61
"October 2, 2020",668.20,12182.05
"October 3, 2020",660.31,12936.91
"October 4, 2020",621.62,10048.45
"October 5, 2020",662.00,14138.90
"October 6, 2020",663.59,13442.54
"October 7, 2020",707.29,13835.59
"October 8, 2020",700.44,13802.48
"October 9, 2020",703.69,13478.59
"October 10, 2020",679.11,11765.56
"October 11, 2020",625.09,8802.28
"October 12, 2020",690.28,13602.65
"October 13, 2020",659.71,12201.05
"October 14, 2020",685.48,12826.95
"October 15, 2020",716.06,13768.29
"October 16, 2020",676.80,12787.33
"October 17, 2020",697.41,12953.33
"October 18, 2020",641.64,9860.13
"October 19, 2020",686.15,13562.80
"October 20, 2020",676.48,13103.34
"October 21, 2020",688.79,13438.16
"October 22, 2020",657.31,12591.02
"October 23, 2020",665.35,12525.03
"October 24, 2020",638.52,10719.74
"October 25, 2020",566.26,7661.96
"October 26, 2020",633.45,11007.26
"October 27, 2020",648.10,11851.51
"October 28, 2020",645.16,12124.43
"October 29, 2020",664.37,13283.10
"October 30, 2020",671.68,12259.09
"October 31, 2020",725.07,14391.61
"November 1, 2020",719.36,11976.23
"November 2, 2020",772.71,16403.19
"November 3, 2020",765.20,15169.76
"November 4, 2020",762.26,15271.56
"November 5, 2020",726.68,13736.53
"November 6, 2020",775.20,14875.48
"November 7, 2020",780.74,14334.90
"November 8, 2020",772.49,11178.77
"November 9, 2020",748.79,14434.11
"November 10, 2020",837.68,15796.87
"November 11, 2020",809.79,16033.53
"November 12, 2020",818.70,16137.97
"November 13, 2020",793.01,15237.80
"November 14, 2020",739.70,10494.83
"November 15, 2020",663.59,8643.49
"November 16, 2020",725.27,11787.88
"November 17, 2020",762.78,13038.57
"November 18, 2020",768.40,13252.11
"November 19, 2020",751.04,12885.59
"November 20, 2020",754.39,12391.65
"November 21, 2020",725.53,11426.85
"November 22, 2020",680.90,9239.93
"November 23, 2020",725.32,13061.32
"November 24, 2020",663.52,11841.29
"November 25, 2020",648.03,11564.67
"November 26, 2020",669.09,11676.50
"November 27, 2020",729.96,13687.62
"November 28, 2020",679.99,11982.57
"November 29, 2020",641.01,9651.97
"November 30, 2020",691.16,13785.63
"December 1, 2020",716.24,15048.41
"December 2, 2020",692.08,14400.62
"December 3, 2020",634.55,12916.16
"December 4, 2020",761.09,16061.54
"December 5, 2020",776.24,16093.79
"December 6, 2020",706.27,11486.81
"December 7, 2020",755.12,15716.32
"December 8, 2020",574.97,9967.03
"December 9, 2020",791.01,16560.21
"December 10, 2020",763.53,15404.80
"December 11, 2020",750.49,14329.14
"December 12, 2020",711.02,12251.73
"December 13, 2020",684.78,10004.15
"December 14, 2020",724.92,14107.85
"December 15, 2020",744.48,14510.20
"December 16, 2020",700.36,12973.10
"December 17, 2020",737.96,14062.04
"December 18, 2020",731.50,13170.33
"December 19, 2020",738.81,12971.61
"December 20, 2020",694.92,10002.15
"December 21, 2020",740.09,14261.92
"December 22, 2020",735.60,13675.52
"December 23, 2020",739.01,13802.86
"December 24, 2020",739.72,13897.71
"December 25, 2020",702.45,11018.98
"December 26, 2020",706.67,11261.78
"December 27, 2020",647.92,8703.11
"December 28, 2020",734.21,14095.93
"December 29, 2020",712.67,13676.88
"December 30, 2020",724.92,14315.01
"December 31, 2020",767.98,15428.54
"January 1, 2021",767.15,14291.54
"January 2, 2021",792.19,16441.23
"January 3, 2021",712.39,11999.27
"January 4, 2021",797.78,17216.59
"January 5, 2021",782.20,16391.11
"January 06, 2021",795.30,16315.32
"January 07, 2021",786.63,15903.99
"January 08, 2021",765.97,15067.11
"January 09, 2021",755.92,13575.18
"January 10, 2021",730.55,11442.15
"January 11, 2021",790.01,16385.67
"January 12, 2021",796.26,16106.04
"January 13, 2021",799.33,15247.81
"January 14, 2021",709.06,12055.99
"January 15, 2021",716.84,12896.46
"January 16, 2021",736.58,13098.51
"January 17, 2021",693.63,10040.86
"January 18, 2021",742.75,14349.75
"January 19, 2021",726.82,13969.89
"January 20, 2021",768.51,15105.77
"January 21, 2021",759.64,14635.65
"January 22, 2021",751.68,14181.12
"January 23, 2021",713.00,11968.34
"January 24, 2021",589.58,8051.95
"January 25, 2021",724.19,14185.07
"January 26, 2021",682.29,10407.76
"January 27, 2021",705.02,13936.00
"January 28, 2021",691.55,13304.92
"January 29, 2021",758.33,15526.32
"January 30, 2021",778.35,15636.10
"January 31, 2021",707.78,11448.43
"February 01, 2021",835.85,18468.88
"February 02, 2021",817.28,17017.33
"February 03, 2021",809.71,16419.83
"February 04, 2021",813.15,16525.55
"February 05, 2021",846.00,16576.05
"February 06, 2021",859.11,16381.84
"February 07, 2021",812.38,12158.01
"February 08, 2021",830.29,16526.49
"February 09, 2021",851.58,16665.88
"February 10, 2021",863.77,17089.00
"February 11, 2021",847.77,16136.53
"February 12, 2021",836.08,15632.23
"February 13, 2021",797.38,13406.04
"February 14, 2021",760.56,10714.19
"February 15, 2021",810.95,15853.05
"February 16, 2021",803.90,15074.43
"February 17, 2021",814.96,14883.53
"February 18, 2021",809.37,15014.25
"February 19, 2021",788.06,13981.94
"February 20, 2021",811.43,14406.39
"February 21, 2021",753.90,10512.08
"February 22, 2021",815.81,15458.36
"February 23, 2021",810.66,14883.16
"February 24, 2021",818.77,15108.13
"February 25, 2021",810.92,15282.20
"February 26, 2021",835.39,16838.18
"February 27, 2021",848.63,15541.31
"February 28, 2021",815.28,12507.90
"March 01, 2021",931.35,20137.82
"March 02, 2021",923.65,19359.29
"March 03, 2021",887.95,18133.93
"March 04, 2021",918.98,18836.35
"March 05, 2021",921.15,18226.84
